Date,SPY
2005-02-01,0.02090379909636786
2005-03-01,-0.022133629120180354
2005-04-01,-0.014881077435751289
2005-05-01,0.03222434855294409
2005-06-01,-0.0025105194729797553
2005-07-01,0.04245212417138311
2005-08-01,-0.009374710614069026
2005-09-01,0.0037526258306772586
2005-10-01,-0.01949489708914276
2005-11-01,0.04395242525537024
2005-12-01,-0.007176358103820335
2006-01-01,0.029441769068526025
2006-02-01,0.005725790880807269
2006-03-01,0.0124775022205601
2006-04-01,0.01665928104471437
2006-05-01,-0.030121523480322043
2006-06-01,-0.0018035050594032986
2006-07-01,0.00891843745650589
2006-08-01,0.021821907429908416
2006-09-01,0.022504841214601834
2006-10-01,0.03605361818882358
2006-11-01,0.01988474162958731
2006-12-01,0.007756579505598049
2007-01-01,0.020695913318049763
2007-02-01,-0.01961740623695085
2007-03-01,0.007592670501131549
2007-04-01,0.04843759285983129
2007-05-01,0.03392022511063497
2007-06-01,-0.018850294076114937
2007-07-01,-0.02713470403213314
2007-08-01,0.012832780921379072
2007-09-01,0.033809873688548375
2007-10-01,0.01837490327508462
2007-11-01,-0.038732370536568306
2007-12-01,-0.016480557235609483
2008-01-01,-0.05547458264702765
2008-02-01,-0.02584282488145906
2008-03-01,-0.013824219712855745
2008-04-01,0.05284856774682156
2008-05-01,0.015116998124653724
2008-06-01,-0.08813667525752622
2008-07-01,-0.00402908467363583
2008-08-01,0.015453301687244902
2008-09-01,-0.09938643983523399
2008-10-01,-0.16035441299146735
2008-11-01,-0.06960695317836829
2008-12-01,0.001665432518524801
2009-01-01,-0.0746632315539616
2009-02-01,-0.10744918773961953
2009-03-01,0.07561223491826596
2009-04-01,0.10721427095443747
2009-05-01,0.058453640459954714
2009-06-01,-0.006268334868358538
2009-07-01,0.08067631995236169
2009-08-01,0.0369394179117597
2009-09-01,0.030548757057786924
2009-10-01,-0.014553736092006497
2009-11-01,0.06160673929032079
2009-12-01,0.013643946350661018
2010-01-01,-0.031154407292052544
2010-02-01,0.03119443844402725
2010-03-01,0.05652866992856698
2010-04-01,0.01965218458321738
2010-05-01,-0.07945471128794512
2010-06-01,-0.056231127492865074
2010-07-01,0.0733836720048302
2010-08-01,-0.044981087532498965
2010-09-01,0.0837533282934575
2010-10-01,0.04375995498008978
2010-11-01,0.0
2010-12-01,0.06127078713828671
2011-01-01,0.0286819304053072
2011-02-01,0.03473710727982682
2011-03-01,-0.004205414388877005
2011-04-01,0.0334311156142042
2011-05-01,-0.011214082160887928
2011-06-01,-0.02171975948546856
2011-07-01,-0.015146273813331224
2011-08-01,-0.05497574892814383
2011-09-01,-0.07421023235238378
2011-10-01,0.11488538139824933
2011-11-01,-0.004063927611060003
2011-12-01,0.004080510510390489
2012-01-01,0.053010994167099756
2012-02-01,0.04340524673574375
2012-03-01,0.027659810544627517
2012-04-01,-0.0023221409042150087
2012-05-01,-0.060056130645943395
2012-06-01,0.03521765542032029
2012-07-01,0.01707230341401189
2012-08-01,0.025052469204990047
2012-09-01,0.01990649003445366
2012-10-01,-0.012957360484322167
2012-11-01,0.005659928414199822
2012-12-01,0.0018290868964110363
2013-01-01,0.05864533124183646
2013-02-01,0.012759204254387813
2013-03-01,0.033374836945605724
2013-04-01,0.023745411704147124
2013-05-01,0.023610129594980656
2013-06-01,-0.018537960441316503
2013-07-01,0.05724121186547615
2013-08-01,-0.02999204112439957
2013-09-01,0.026642188250475485
2013-10-01,0.05140714273278135
2013-11-01,0.029637703943036664
2013-12-01,0.020386835434632156
2014-01-01,-0.030010660785676713
2014-02-01,0.04551547209877049
2014-03-01,0.003865052155693771
2014-04-01,0.011395795126193153
2014-05-01,0.023206237892997583
2014-06-01,0.015777584786095478
2014-07-01,-0.008710312232434902
2014-08-01,0.03946375206958708
2014-09-01,-0.018384876619599422
2014-10-01,0.02833543260219651
2014-11-01,0.027471894028158195
2014-12-01,-0.008011590306321592
2015-01-01,-0.02427378645632272
2015-02-01,0.05620456656304795
2015-03-01,-0.020079563356466656
2015-04-01,0.01434166848755769
2015-05-01,0.01285601302164463
2015-06-01,-0.025054548664976584
2015-07-01,0.027563485784396047
2015-08-01,-0.060950244594462855
2015-09-01,-0.030555970304810387
2015-10-01,0.09070092928570372
2015-11-01,0.0036551714914514477
2015-12-01,-0.023096723918225592
2016-01-01,-0.04413113886369957
2016-02-01,-0.0008261802396145601
2016-03-01,0.06178986059246672
2016-04-01,0.009118633950881971
2016-05-01,0.017011762746726333
2016-06-01,-0.0017154687760768672
2016-07-01,0.04186143817416976
2016-08-01,0.0011976089062302187
2016-09-01,-0.0049682673275984746
2016-10-01,-0.012373115625767928
2016-11-01,0.03683822231174516
2016-12-01,0.01429329533701873
2017-01-01,0.0238945144432694
2017-02-01,0.039291521793429984
2017-03-01,-0.0030871147349031958
2017-04-01,0.014319650371946047
2017-05-01,0.014112936267854703
2017-06-01,0.001491212412870313
2017-07-01,0.025530818379011055
2017-08-01,0.00291767629909101
2017-09-01,0.015112089580202381
2017-10-01,0.02864326316793342
2017-11-01,0.03056625741325436
2017-12-01,0.006980569343002729
2018-01-01,0.061758980148400644
2018-02-01,-0.03636067115746233
2018-03-01,-0.03129004934676016
2018-04-01,0.009193942928129806
2018-05-01,0.024308862585190383
2018-06-01,0.001254907497544755
2018-07-01,0.041703393408546896
2018-08-01,0.03191964748168097
2018-09-01,0.0014124606465737433
2018-10-01,-0.06489030741861701
2018-11-01,0.018549190513959646
2018-12-01,-0.0933429268277326
2019-01-01,0.08637301463453428
2019-02-01,0.03241587814554303
2019-03-01,0.013635586083078799
2019-04-01,0.04543713749489231
2019-05-01,-0.06377134309740107
2019-06-01,0.06440936190625357
2019-07-01,0.020056832559167903
2019-08-01,-0.01674338001503728
2019-09-01,0.014771638463320524
2019-10-01,0.026824837636078902
2019-11-01,0.03619839367352329
2019-12-01,0.024020727236824913
2020-01-01,0.004510378816459326
2020-02-01,-0.07916559976361448
2020-03-01,-0.12998712313539607
2020-04-01,0.13361051881746078
2020-05-01,0.04764503372549633
2020-06-01,0.013275545812212686
2020-07-01,0.06355211822016726
2020-08-01,0.06979659218455714
2020-09-01,-0.041281527064233936
2020-10-01,-0.021030199900152535
2020-11-01,0.10877673329257243
2020-12-01,0.03264651198283164
2021-01-01,-0.005971069233601245
2021-02-01,0.027805447394731786
2021-03-01,0.04198660575026514
2021-04-01,0.05635889981145392
2021-05-01,0.006566058472216252
2021-06-01,0.0190932873612224
2021-07-01,0.0277642254455015
2021-08-01,0.02975962378143815
2021-09-01,-0.04965009428399603
2021-10-01,0.07359211284211509
2021-11-01,-0.00803489660918677
2021-12-01,0.042584978319772926
2022-01-01,-0.04941328150831725
2022-02-01,-0.029517035881642673
2022-03-01,0.034377004101674435
2022-04-01,-0.084934996986186
2022-05-01,0.002257112328367894
2022-06-01,-0.08640689623091269
2022-07-01,0.09680492926666218
2022-08-01,-0.04080193660163922
2022-09-01,-0.09615864586463418
2022-10-01,0.08571721017464462
2022-11-01,0.05559168748746934
2022-12-01,-0.06193604406323849
2023-01-01,0.06776822354558498
2023-02-01,-0.025142579381460473
2023-03-01,0.033134679215910845
2023-04-01,0.019852436042409716
2023-05-01,0.00461625332995097
2023-06-01,0.060859074805016844
2023-07-01,0.036569459023488404
2023-08-01,-0.016252020547996904
2023-09-01,-0.050782836782707674
2023-10-01,-0.018257680167522494
2023-11-01,0.09134376661649335
2023-12-01,0.04143302415742589
2024-01-01,0.020045350679361196
2024-02-01,0.0521869012888494
2024-03-01,0.029503237378880165
2024-04-01,-0.0373378789054718
2024-05-01,0.05057986279459881
2024-06-01,0.03195089102841808
2024-07-01,0.015374071019462532
2024-08-01,0.023365675127643648
2024-09-01,0.017882700172296984
2024-10-01,-0.005883788084268038
2024-11-01,0.059633499958499536
2024-12-01,-0.02733380495406823
2025-01-01,0.030312437117878233
2025-02-01,-0.012694879396753067
2025-03-01,-0.05855126022694823
2025-04-01,-0.005688004406172675
2025-05-01,0.06284483157507648
2025-06-01,0.048287228129237914
2025-07-01,0.02605584518085835
2025-08-01,0.020519557405096478
2025-09-01,0.03275707638472447
2025-10-01,0.02667596795300775
2025-11-01,0.0019500001387040555
